X,Y,NAME,ST,POPULATION
-94.86469506,42.06972828,Carroll,IA,10016
-92.45326741,42.51969397,Cedar Falls,IA,41742
-91.67819798,41.96678669,Cedar Rapids,IA,134978
-90.2013465,41.85481056,Clinton,IA,26232
-93.797495,41.6076833,Clive,IA,18870
-91.59780982,41.69808186,Coralville,IA,20600
-95.85383344,41.2389026,Council Bluffs,IA,62986
-90.57545979,41.53779566,Davenport,IA,104706
-93.61575064,41.58856949,Des Moines,IA,223803
-90.682911,42.50066018,Dubuque,IA,61063
-94.17510053,42.50979904,Fort Dodge,IA,25035
-91.348566,40.62400684,Fort Madison,IA,10953
-93.56588806,41.36237881,Indianola,IA,15507
-91.531014,41.65584999,Iowa City,IA,75223
-93.71677711,41.68547866,Johnston,IA,21937
-91.40303613,40.4095628,Keokuk,IA,10706
-91.58565868,42.04484962,Marion,IA,38156
-92.90670186,42.03410457,Marshalltown,IA,27883
-93.19981366,43.14872308,Mason City,IA,27623
-91.06807535,41.41948211,Muscatine,IA,24219
-93.04048216,41.69652435,Newton,IA,15199
-91.61382734,41.7442789,North Liberty,IA,17774
-92.64048383,41.29210819,Oskaloosa,IA,11530
-92.4186171,41.0195756,Ottumwa,IA,24639
-92.91807306,41.40510406,Pella,IA,10445
-96.41822101,42.49926557,Sioux City,IA,84088
-95.15331681,43.14686857,Spencer,IA,11764
-95.19699221,42.64314523,Storm Lake,IA,11053
-93.71356267,41.62457318,Urbandale,IA,45280
-92.35218383,42.49197367,Waterloo,IA,70131
-93.86991382,41.59976119,Waukee,IA,18359
-93.75386826,41.56549893,West Des Moines,IA,67853
-97.13633909,37.68752708,Andover,KS,13395
-97.0388744,37.07070483,Arkansas City,KS,12329
-95.12982203,39.56432158,Atchison,KS,10985
-95.629659,37.03448215,Coffeyville,KS,9760
-97.25593233,37.55690604,Derby,KS,23214
-100.0217638,37.76026872,Dodge City,KS,28731
-96.86338796,37.82292235,El Dorado,KS,13255
-96.19158798,38.40982669,Emporia,KS,25027
-100.8604271,37.97785548,Garden City,KS,27165
-94.92951824,38.81578043,Gardner,KS,21502
-98.7776459,38.36561888,Great Bend,KS,15726
-99.32133398,38.88087205,Hays,KS,21128
-97.3506901,37.56569152,Haysville,KS,11057
-97.90823239,38.06718926,Hutchinson,KS,41690
-96.843978,39.02651419,Junction City,KS,24838
-94.62878391,39.11180231,Kansas City,KS,154301
-94.89168646,39.24259631,Lansing,KS,11753
-95.23590689,38.9713972,Lawrence,KS,94902
-94.92473642,39.32274111,Leavenworth,KS,36692
-94.62582531,38.90760809,Leawood,KS,34984
-94.74069109,38.95989631,Lenexa,KS,53840
-100.9288027,37.04683604,Liberal,KS,20757
-97.66114146,38.37111654,McPherson,KS,13310
